03-26 20:01:03.346: W/ActivityThread(17288): Application com.lunchamigos.timedate can be debugged on port 8100...
03-26 20:01:03.366: W/dalvikvm(17288): VFY: unable to resolve static field 1559 (ActionBarWindow) in Landroid/support/v7/appcompat/R$styleable;
03-26 20:01:03.366: D/dalvikvm(17288): VFY: replacing opcode 0x62 at 0x0004
03-26 20:01:03.366: D/AndroidRuntime(17288): Shutting down VM
03-26 20:01:03.366: W/dalvikvm(17288): threadid=1: thread exiting with uncaught exception (group=0x41553ce0)
03-26 20:01:03.366: E/AndroidRuntime(17288): FATAL EXCEPTION: main
03-26 20:01:03.366: E/AndroidRuntime(17288): Process: com.lunchamigos.timedate, PID: 17288
03-26 20:01:03.366: E/AndroidRuntime(17288): java.lang.NoClassDefFoundError: android.support.v7.appcompat.R$styleable
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.support.v7.app.ActionBarActivityDelegate.onCreate(ActionBarActivityDelegate.java:107)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.support.v7.app.ActionBarActivityDelegateICS.onCreate(ActionBarActivityDelegateICS.java:58)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.support.v7.app.ActionBarActivity.onCreate(ActionBarActivity.java:98)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at com.lunchamigos.timedate.MainActivity.onCreate(MainActivity.java:21)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.Activity.performCreate(Activity.java:5231)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1087)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2169)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2265)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.ActivityThread.access$800(ActivityThread.java:145)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1206)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.os.Handler.dispatchMessage(Handler.java:102)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.os.Looper.loop(Looper.java:136)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at android.app.ActivityThread.main(ActivityThread.java:5081)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at java.lang.reflect.Method.invokeNative(Native Method)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at java.lang.reflect.Method.invoke(Method.java:515)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:791)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:607)
03-26 20:01:03.366: E/AndroidRuntime(17288): 	at dalvik.system.NativeStart.main(Native Method)
